PER,UPER,ECC,UECC
day,day,,
670,11,0,0.105
3.8334999,0.0013,0,
133.71001,0.2,0.511,0.017
15.56,0.02,0,0.005
3668,170,0.04,0.065
613.8,1.35,0.04,0.03
44.236,0.008,0.4686,0.0081
225.7,0.4,0.3,0.1
226.93,0.37,0.1684,0.019
653.21997,1.21,0.41,0.01
4.6455,0.0011,0,
598.3,4.2,0.3,0.08
974,39,0.34,0.09
2146.0503,5.50631,0.355094,0.00740422
1244,17,0.41,0.1
410.1,2.2,0.096,0.048
363.2,1.6,0.41,0.16
1319,4,0.4,0.05
157.54,0.38,0.01,0.02
1260,7,0.256,0.009
528.40002,6.3,0.26,0.05
3658,32,0.22,0.03
268.94,0.99,0.29,0.03
577.9,5.25,0.078,0.0585
1035.7,13,0.22,0.07
2068,39,0.034,0.0385
6.958,0.001,0.24,0.08
9.62,0.002,0,
350.3,3.6,0.26,0.18
4100,300,0.37,0.05
352.2,1.65,0.17,0.07
778.1,7.5,0.211,0.042
1178.4,8.8,0.01,0.02
493.7,1.8,0.144,0.032
3.14945,0.00017,0.32,0.09
428.1,1.1,0.06,0.043
4.6938,0.007,0.2,0.02
15.299,0.00325,0.098,0.0825
1749.83,0.57,0.2113,0.00171
1001.7,7,0.526,0.042
875.5,5.8,0.08,0.04
25.63058,0.0255,0.099,0.086
507,16,0.157,0.086
1114,15,0.167,0.055
157.57,0.65,0.085,0.054
386.29999,1.6,0.5,
937.70001,15.6,0.23,0.03
47.84,0.03,0,
763,17,0.14,0.06
689,13,0,0.11
931,17,0.12,0.02
9.6737,0.0039,0,
32.03,0.02,0.05,0.02
143.58,0.6,0.14,0.03
466,3,0.3,0.2
256.78,0.05,0.673,0.007
3066,110,0.23873,0.0636
525.8,9.2,0.32,0.11
533,1.7,0.64,0.04
379,2,0.05,0.03
1058.8,6.7,0.61,0.03
1214,9,0.44,0.07
163.94,0.01,0.61,0.03
428.5,1.25,0.144,0.046
1405,45,0.3,0.1
3.312433,0.000019,0.023,0.015
120.8,0.34,0.1528,0.0096
1049,11,0.27,0.07
559.40487,1.2902,0.45899,0.01252
479.1,6.2,0.38,0.06
499.4,3.6,0.34,0.021
75.523,0.055,0.252,0.052
5.0505,0.0015,0.024,0.014
2831.6,150,0.28,0.09
1224,12,0.444,0.038
37.910254,0.0406191,0.301733,0.169797
471.6,6,0.27,0.06
201.3,0.6,0.28,0.03
55.806,0.049,0,
18.315,0.008,0,
18.20132,0.00039,0.0138,0.0044
3657,104,0.08,0.04
7.1999,0.0009,0.15,0.05
380,0.3,0.25,0.03
4.215,0.0006,0.12,0.11
354.29,2.2,0.036,0.035
3.2357,0.0008,0,
643.25,0.9,0.128,0.017
559.3,1.2,0.048,0.017
377.8,2.4,0.14,0.09
1129,7,0.85,0.085
1773.4,2.5,0.369,0.005
111.7,0.7,0.29,0.02
1523,43,0.4,0.06
345.72,5.37,0.52,0.08
1882,250,0.04,0.02
14.207,0.007,0.31,0.11
1155,23,0.05,0.095
1311,49,0.07,0.074
361.1,9.9,0,0.14
792.6,7.7,0.19,0.061
111.4367,0.0004,0.934,0.003
1475,55,0.7,0.2
93.4,4.5,0.06,0.09
219.3,1.6,0.425,0.025
148.6,0.7,0.38,0.11
302.8,2.3,0.14,0.13
1862,38,0.16,0.14
24.3556,0.0046,0.055,0.039
1920.1,25,0.23,0.04
6.673859,0.0000186047,0.142483,0.000945445
49.77,0.07,0.31,0.1
2.1451,0.0012,0,
910,21,0.412,0.064
604,9,0.02,0.02
6.27711,0.00021,0.1249,0.0087
4.072,0.007,0.016,0.01
1966.1,41,0.59,0.02
962,15,0.28,0.02
116.6884,0.0044,0.4007,0.0035
122.1,0.3,0.34,0.14
5.6,0.02,0.15,0.15
2.64385,0.00009,0.16,0.019
18.157,0.034,0.18,0.035
2496,176,0.1,0.075
2127.7,8.2,0.4805,0.006
745.7,13.8,0.4,0.1
39.8449,0.0063,0.057,0.028
711,8,0.4,0.07
1770,40,0.074,0.071
606.4,9,0.24,0.14
885.5,5.1,0.125,0.055
4270,220,0.517222,0.0326475
51.638,0.004,0.63,0.01
5.8881,0.0005,0.09,0.04
4218,388,0.02,0.035
391.9,1,0.16,0.1
185.84,0.23,0,
952.7,8.8,0.206,0.029
2372,26,0.07,0.04
310.54999,0.83,0.0666,0.0122
1187.3,2.4,0.338,0.015
21.997999,0.009,0.17,0.03
641,2,0.02,0.03
141.60001,2.8,0.1,0.08
418.20001,5.7,0.1,0.05
798.5,1,0.681,0.017
882.7,7.6,0.421,0.015
551.4,7.8,0.15,0.07
262.70861,0.082795,0.376834,0.00774079
2520,15,0.38,0.02
40.114,0.053,0,
696.3,2.7,0,
1544,34,0.22,0.09
28.1,0.03,0.27,0.1
1155.7,54.45,0.27,0.16
177.11,0.32,0.066,0.022
323.6,2.2,0.21,0.04
3.97097,0.00023,0.095,0.075
2151,85,0.6405,0.0072
1275,13,0.82,0.06
2.8758911,0.0000025,0,
1353,25,0.319,0.025
4.94737,0.00098,0.087,0.091
442.4,5.1,0.203,0.0675
5.7361,0.0015,0.09,0.215
3724.7,463,0.51,0.1
24.451,0.016,0.21,0.125
352.3,1.3,0.15,0.05
330,3,0.36,0.12
383.70001,1.2,0.36,0.02
572.38,0.61,0.725,0.012
454.2,1.6,0.345,0.049
2172,158,0.48,0.05
828,8.1,0.052,0.04
777,4,0.4,0.02
516.22,3.25,0.08,0.03
2732,81,0.23,0.07
1300,15,0.125,0.049
17.0431,0.0047,0.254,0.092
1733,74,0.37,0.08
1378,21,0.228,0.038
1143,14,0.2,0.01
25.827,0.019,0.42,0.17
479,13,0.09,0.1
57.435,0.042,0.166,0.034
2.818049,0.000071,0,0.011
392.6,5.5,0.2,0.1
714.3,5.3,0.21,0.07
19.382,0.006,0.046,0.022
2457.8717,37.9467,0.253675,0.202951
3452,105,0.06,0.05
523.9,0.7,0.0214,0.0077
8.631,0.001,0.11,0.04
1120,23,0.715,0.046
986,,0.47,
6.1335,0.0006,0.309,0.014
1290,22,0.54,0.09
677.8,6.2,0.19,0.07
1056.8,2.8,0.326,0.009
1353.6,57.1,0.249,0.073
950.69651,12.6436,0.165251,0.0404455
1299,48,0,0.16
2770,100,0.193,0.025
605.2,4,0.08,0.02
1038.1,5.1,0.18,0.02
9.4909,0.00155,0.064,0.0525
2890,390,0.402,0.054
912,41,0.117,0.1785
535.6,3,0.35,0.08
762,50,0.24,0.1
2166,38,0.2,0.05
1314,8,0.12,0.06
356,2.6,0.041,0.037
3.4442,0.0002,0,
58.11247,0.0003,0.52883,0.024
122.72,0.2,0.133,0.066
963.6,3.4,0.778,0.009
31.559999,0.04,0.13,0.06
198.4,0.42,0.06,0.04
4.0845,0.0002,0.038,0.02
331.5,3,0.16,0.08
594.90002,5.3,0.151,0.023
130.08,0.51,0.24,0.16
2500,350,0.25,0.23
591.9,2.8,0.97,0.01
17.111027,0.00483338,0.23747,0.0816912
613.09998,11.4,0.41,0.06
2.64561,0.00066,0.08,0.0755
10.7085,0.0003,0.011,0.0155
277.02,0.515,0.106,0.074
990,20,0.6,0.11
3.023573,0.000065,0.063,0.026
436.9,4.5,0,0.105
133.6,0.5,0.04,0.08
1944.5898,25.7322,0.041,0.044
357.8,1.2,0.09,0.06
1125.7,9,0.1,0.02
5.7727,0.0025,0.14,0.19
1313,28,0.15,0.07
431.88,0.85,0.519,0.027
6.4948,0.0004,0.048,0.027
8.7832,0.0054,0,
730.6,5.7,0.102,0.031
71.484,0.02,0.114,0.003
8.428198,0.000056,0.277,0.002
6.404,0.0014,0.107,0.08
30.0881,0.0082,0.25591,0.00093
3.93404,0.00066,0.16,0.09
3341.5588,92.6798,0.044,0.045
7.1268163,0.0000390988,0.126686,0.00515074
4205.8,458.9,0.0985,0.0627
615,7,0.19,0.16
7.3709,0.0008,0.08,0.08
12.62,0.004,0.02,0.018
6.0881,0.0018,0.086,0.019
20.46,0.01,0,
2443,161,0.08,0.055
124.26,0.7,0.055,0.012
2102,264,0.33,0.02
2391,93.5,0.098,0.0715
358,1,0.24,0.043
788,25,0.41,0.12
0.736546,0.000003,0,
431.7,8.5,0.27,0.05
456.10001,6.5,0.08,0.11
345.53,1.7,0.129,0.045
663,29,0.177,0.057
883,29,0.163,0.073
472.3,5.65,0.61,0.08
691.9,3.6,0.117,0.048
672.1,3.7,0.14,0.05
655.6,0.6,0.54,0.005
1.93778,0.00002,0.207,0.055
14.310195,0.000805778,0.243663,0.0280546
621.99,10.2,0.18,0.06
528.07,0.14,0.8191,0.0023
2082,29,0.66,0.12
482,5,0.11,0.105
380.85,0.09,0.75,0.002
48.056,0.057,0.05,0.11
270,0.85,0.63,0.025
4375,169,0.06,0.04
4.230785,0.000036,0.013,0.012
886,8,0.15,0.06
261.2,0.4,0.32,0.05
88.8,0.2,0.09,0.05
2.245715,0.00028,0,
3.52474859,3.8e-7,0,
127.58,0.3,0.05,0.04
9.3743,0.0019,0.396,0.062
3.0965828,0.00000784492,0.0102736,0.00593125
10.8985,0.0045,0.53,0.12
407.5,2.67,0.155,0.05
567.94,2.7,0.49,0.04
90.309,0.184,0,
136.75,0.25,0,
388,3,0.34,0.02
264.15,0.23,0.252,0.014
12.9182,0.0022,0.07,0.06
5.75962,0.00028,0.077,0.033
522.3,2.7,0.19,0.02
5000,400,0.12,0.02
4.3115,0.0006,0,
511.098,0.089,0.7124,0.0039
394.48124,0.598627,0.1276,0.0223708
360.2,1.4,0.13,0.06
1561,12,0.266,0.014
1845,167,0.08,0.06
2.985698,0.000057,0.013,0.013
36.959999,0.02,0.14,0.02
335.1,2.5,0.289,0.092
237.6,1.5,0.19,0.09
269.29999,1.96,0.432,0.024
1075.2,1.5,0.099,0.007
916,29.5,0.13,0.1
324,2,0.46,0.04
379.63,2.01,0.15,0.03
9.6386,0.0015,0.172,0.04
62.218,0.015,0.596,0.036
868,37,0.37,0.1
225.62,0.22,0.31,0.01
297.3,6,0.33,0.2
1383.4,18.4,0.267,0.021
176.3,0.39,0.112,0.035
610,13,0.229,0.058
121.71,0.305,0.35,0.08
1707.8812,13.8648,0.0312556,0.0220212
197,3,0.07,0.07
1116,26,0.81,0.035
184.02,0.18,0,
442.19,0.5,0.476,0.017
11.4433,0.0016,0,
14.651,0.0001,0.004,0.003
161.97,0.875,0.13,0.115
5.118,0.001,0.39,0.17
30.6,0.01,0.07,0.04
18.179001,0.007,0.48,0.05
49.747,0.024,0.065,0.035
4909,30,0.02,0.008
885,63,0.03,0.1
1027,28,0.52,0.065
3999,505,0.16,0.215
188.3,0.9,0.19,0.05
2597,41,0.144,0.035
63.330002,0.03,0.03,0.01
359.51001,0.09,0.8472,0.0016
26.73,0.02,0.05,0.03
521,6.9,0.291,0.093
2288,59,0.21,0.08
1086,90,0.18,0.1
194.3,0.3,0.17,0.03
74.72,0.1,0.13,0.04
4.6171363,0.0000562339,0.013,0.0145
2.1375,0.0002,0.008,0.004
68.27,0.13,0.12,0.04
580,15,0.18,0.05
923.8,5.3,0.23,0.058
61.1166,0.0086,0.0324,0.0013
282.4,3.8,0.26,0.14
30.052,0.027,0.2,0.06
772,11,0.12,0.063
420.77,3.3,0.089,0.0465
8.6669998,0.003,0.1,0.04
83.9151,0.003,0.3354,0.0048
38.021,0.034,0.14,0.06
43.6,0.2,0.38,0.06
184.2,0.5,0.02,0.03
2.5485799,0.00016,0.029,0.02
874.774,12,0.059,0.033
396.03,0.62,0.257,0.01
359.89999,2.4,0.166,0.052
8.1352,0.004,0.187,0.1
255.87,0.06,0.435,0.001
1680.3835,23.9362,0.273039,0.0395569
35.68,0.03,0.18,0.14
825,4.1,0.181,0.041
2248,104,0.151,0.072
326.6,3.9,0.12,0.17
5.39792,0.00025,0.058,0.048
439.3,5.6,0.09,0.125
1003,56,0.16,0.19
241.33335,0.189011,0.223848,0.0257025
1145,18,0.11,0.08
3.41587,0.00059,0.133,0.072
1333,15,0.48,0.06
455.2,3.2,0.184,0.029
1136.1,9.9,0.531,0.028
956,14,0.26,0.06
44.38,0.007,0.07,0.02
842.2,14.5,0.22,0.08
181.4,0.1,0.027,0.026
17.990999,0.007,0.049,0.008
131.05,0.54,0.708,0.018
123.01,0.55,0.35,0.09
14.476,0.011,0.115,0.087
406.2,3.2,0.498,0.044
526.62,0.3,0.903,0.005
3.38773,0.00008,0,
199.505,0.085,0.09,0.009
2754,87,0.53,0.12
602,11,0,
1973,31,0.465,0.03
119.29,0.086,0.325,0.065
17.24,0.01,0.2,0.09
279.8,0.1,0.27,0.07
118.45,0.55,0.37,0.06
464.3,3.2,0.255,0.041
603.95116,7.55862,0.373,0.077
461.2,1.7,0.137,0.026
16.3567,0.0043,0.143,0.058
192.9,0.9,0.06,0.06
154.378,0.089,0.054,0.028
905.574,3.08,0.12,0.05
2111,37,0.098,0.027
15.76491,0.00039,0.0416,0.0072
227,0.2,0.297,0.026
705,34,0.066,0.168
3.092514,0.000032,0.022,0.015
311.6,1.8,0.129,0.092
147.76916,0.0890137,0.153155,0.0131957
387.1,3.4,0.168,0.07
498.9,1,0.71,0.04
327.8,1.2,0.83,0.03
2720,57,0.013,0.014
626.516,1.0976,0.35672,0.00896
326.03,0.32,0.231,0.005
103.95,0.13,0.307,0.017
187.83,0.54,0.191,0.085
589.64001,0.81,0.02,0.025
4.4264,0.007,0,
1078,2,0.032,0.014
501.75,2.33,0.15,0.02
5.24,0.002,0,
342.85,0.28,0.0974,0.012
223.6,0.6,0.24,0.05
248.4,4.9,0.075,0.05
3.336649,0.000002,0,
744.5,3.71,0.025,0.05
647.3,16.8,0.3,0.1
21.21663,0.00045,0.6819,0.0044
465.1,2.3,0.067,0.01
1157,27,0.76,0.05
417.9,0.5,0.11,0.03
1630,35,0.13,0.065
433.7,3.2,0.19,0.1
4.113775,0.000557,0,
3.509267,0.000064,0.034,0.029
6.8378503,0.001,0.295952,0.04
3.48777,0.00011,0.019,0.021
2915.0369,28.8606,0.313105,0.0191296
446.27,0.22,0.6616,0.0054
692,2,0.11,0.05
55.01307,0.00064,0.6767,0.0019
4.15474,0.00052,0.27499,0.12205
5.36865,0.00009,0.031,0.014
5040,3414,0.36,0.16
20.8133,0.0064,0.121,0.082
2.21857567,1.5e-7,0,
443.4,4.2,0,0.05
1043,9,0.11,0.06
431.8,3.1,0.101,0.036
1928,46,0.53,0.205
123.75,0.3,0.33,0.06
373.3,3.4,0.111,0.06
258.18,0.07,0.233,0.002
3805.6705,422.695,0.252086,0.0334054
70.459999,0.18,0.11,0.02
1951,41,0.638,0.002
41.397,0.016,0.314,0.086
38.14,0.015,0.04,0.076
1008,18,0.133,0.011
325.81,0.26,0.334,0.011
3827,105,0.25,0.08
408.6,0.5,0.46,0.02
75.29,0.02,0.73,0.02
466.2,1.7,0.266,0.014
58.43,0.13,0.11,0.1
1531,4.7,0.482,0.011
993.3,3.2,0.08,0.01
550,3,0.59,0.01
1278.1218,4.00647,0.267395,0.0196178
